plan_cache_mode,filter,offset,sample,begin_ms,set_ms,count_ms,page_ms,commit_ms,statement_sum_ms
auto,unfiltered,0,1,0.032,0.034,8.657,0.152,0.046,8.921
auto,unfiltered,0,2,0.036,0.037,8.732,0.129,0.044,8.978
auto,unfiltered,0,3,0.034,0.036,8.592,0.149,0.053,8.864
auto,unfiltered,0,4,0.042,0.033,8.591,0.15,0.039,8.854999999999999
auto,unfiltered,0,5,0.03,0.032,8.611,0.149,0.051,8.873000000000001
auto,unfiltered,50,1,0.031,0.033,8.933,0.14,0.043,9.18
auto,unfiltered,50,2,0.034,0.036,9.053,0.146,0.04,9.309000000000001
auto,unfiltered,50,3,0.031,0.033,8.76,0.141,0.038,9.003
auto,unfiltered,50,4,0.03,0.038,8.787,0.132,0.043,9.030000000000001
auto,unfiltered,50,5,0.033,0.035,8.818,0.127,0.057,9.07
auto,no-match,0,1,0.039,0.044,53.654,124.227,0.091,178.055
auto,no-match,0,2,0.05,0.054,54.107,122.484,0.081,176.77599999999998
auto,no-match,0,3,0.038,0.04,50.136,119.095,0.083,169.392
auto,no-match,0,4,0.045,0.047,48.699,120.81,0.084,169.685
auto,no-match,0,5,0.043,0.044,49.327,118.905,0.078,168.397
auto,no-match,50,1,0.047,0.046,48.841,118.569,0.077,167.58
auto,no-match,50,2,0.043,0.044,48.023,119.46,0.078,167.648
auto,no-match,50,3,0.04,0.042,50.118,121.264,0.079,171.543
auto,no-match,50,4,0.04,0.043,49.773,119.907,0.088,169.851
auto,no-match,50,5,0.042,0.044,49.317,118.987,0.082,168.472
auto,sparse,0,1,0.051,0.045,48.782,57.882,0.063,106.823
auto,sparse,0,2,0.042,0.049,48.54,57.919,0.072,106.622
auto,sparse,0,3,0.04,0.042,49.444,58.404,0.086,108.016
auto,sparse,0,4,0.043,0.043,48.349,58.028,0.112,106.57499999999999
auto,sparse,0,5,0.046,0.046,48.035,57.997,0.092,106.216
auto,sparse,50,1,0.05,0.047,47.748,118.34,0.074,166.25900000000001
auto,sparse,50,2,0.042,0.045,48.381,118.867,0.073,167.40800000000002
auto,sparse,50,3,0.041,0.045,47.89,117.416,0.102,165.494
auto,sparse,50,4,0.043,0.043,47.726,118.841,0.064,166.71699999999998
auto,sparse,50,5,0.035,0.04,47.651,117.398,0.069,165.193
auto,common,0,1,0.046,0.043,46.985,0.27,0.042,47.386
auto,common,0,2,0.033,0.035,46.998,0.297,0.049,47.412
auto,common,0,3,0.037,0.037,46.38,0.32,0.048,46.822
auto,common,0,4,0.036,0.037,46.799,0.316,0.049,47.237
auto,common,0,5,0.035,0.036,46.382,0.286,0.044,46.783
auto,common,50,1,0.037,0.039,49.377,0.433,0.058,49.944
auto,common,50,2,0.036,0.038,47.83,0.394,0.057,48.355
auto,common,50,3,0.038,0.038,47.142,0.437,0.075,47.730000000000004
auto,common,50,4,0.037,0.038,46.991,0.435,0.048,47.549
auto,common,50,5,0.036,0.039,48.233,0.485,0.069,48.861999999999995
force_generic_plan,unfiltered,0,1,0.03,0.032,7.867,0.099,0.038,8.066
force_generic_plan,unfiltered,0,2,0.031,0.034,7.81,0.099,0.041,8.014999999999999
force_generic_plan,unfiltered,0,3,0.032,0.035,8.034,0.099,0.037,8.237
force_generic_plan,unfiltered,0,4,0.031,0.034,7.888,0.106,0.037,8.096
force_generic_plan,unfiltered,0,5,0.029,0.031,7.763,0.128,0.039,7.99
force_generic_plan,unfiltered,50,1,0.03,0.031,7.838,0.113,0.04,8.052
force_generic_plan,unfiltered,50,2,0.03,0.033,7.858,0.105,0.049,8.075
force_generic_plan,unfiltered,50,3,0.031,0.032,7.827,0.129,0.045,8.064
force_generic_plan,unfiltered,50,4,0.035,0.042,8.158,0.165,0.048,8.447999999999999
force_generic_plan,unfiltered,50,5,0.036,0.039,8.218,0.127,0.048,8.468
force_generic_plan,no-match,0,1,0.039,0.042,53.78,133.505,0.09,187.456
force_generic_plan,no-match,0,2,0.043,0.046,53.963,133.628,0.088,187.768
force_generic_plan,no-match,0,3,0.044,0.047,54.031,134.378,0.087,188.587
force_generic_plan,no-match,0,4,0.043,0.046,54.729,133.74,0.094,188.65200000000002
force_generic_plan,no-match,0,5,0.044,0.046,56.411,138.666,0.098,195.265
force_generic_plan,no-match,50,1,0.041,0.047,54.262,134.985,0.09,189.425
force_generic_plan,no-match,50,2,0.045,0.048,55.042,135.839,0.077,191.051
force_generic_plan,no-match,50,3,0.039,0.042,55.916,139.974,0.089,196.05999999999997
force_generic_plan,no-match,50,4,0.043,0.045,54.697,134.645,0.086,189.51600000000002
force_generic_plan,no-match,50,5,0.047,0.048,54.63,132.941,0.112,187.778
force_generic_plan,sparse,0,1,0.047,0.047,53.946,65.351,0.096,119.487
force_generic_plan,sparse,0,2,0.04,0.051,54.927,65.719,0.078,120.815
force_generic_plan,sparse,0,3,0.041,0.044,53.806,66.169,0.09,120.14999999999999
force_generic_plan,sparse,0,4,0.046,0.05,54.232,66.022,0.074,120.424
force_generic_plan,sparse,0,5,0.042,0.046,54.71,66.078,0.088,120.964
force_generic_plan,sparse,50,1,0.042,0.045,53.6,131.997,0.073,185.757
force_generic_plan,sparse,50,2,0.043,0.045,54.882,132.993,0.069,188.03199999999998
force_generic_plan,sparse,50,3,0.037,0.042,54.182,134.047,0.071,188.379
force_generic_plan,sparse,50,4,0.039,0.043,56.84,133.743,0.084,190.749
force_generic_plan,sparse,50,5,0.045,0.049,54.506,132.354,0.071,187.025
force_generic_plan,common,0,1,0.069,0.061,55.754,0.275,0.053,56.211999999999996
force_generic_plan,common,0,2,0.038,0.038,53.455,0.32,0.049,53.9
force_generic_plan,common,0,3,0.033,0.038,52.907,0.269,0.054,53.300999999999995
force_generic_plan,common,0,4,0.034,0.041,54.419,0.277,0.051,54.821999999999996
force_generic_plan,common,0,5,0.034,0.038,55.693,0.473,0.06,56.297999999999995
force_generic_plan,common,50,1,0.039,0.04,52.661,0.403,0.047,53.190000000000005
force_generic_plan,common,50,2,0.037,0.041,54.797,0.585,0.045,55.504999999999995
force_generic_plan,common,50,3,0.034,0.038,52.818,0.389,0.06,53.339
force_generic_plan,common,50,4,0.041,0.044,53.975,0.405,0.051,54.516
force_generic_plan,common,50,5,0.035,0.037,55.837,0.526,0.064,56.499
